title,description
Frontend Developer,React HTML CSS JavaScript responsive UI design frontend development
Backend Developer,Python Django Flask REST API SQL backend systems database integration
Full Stack Developer,React Node.js MongoDB Express API integration full stack web development
Data Analyst,Python Pandas NumPy Excel PowerBI data visualization reporting analytics
Machine Learning Intern,Python Scikit-learn TensorFlow NLP predictive modeling data science
AI Research Intern,Deep learning neural networks PyTorch NLP computer vision research
Cloud Engineer,AWS Azure Docker Kubernetes DevOps CI CD cloud deployment
DevOps Intern,Docker Jenkins Kubernetes Git CI CD automation infrastructure
Cybersecurity Analyst,Network security ethical hacking penetration testing firewall cybersecurity
Database Engineer,MySQL PostgreSQL indexing query optimization database design
Mobile App Developer,Flutter Android Kotlin iOS mobile application development
Game Developer,Unity Unreal Engine C# game physics animation development
Blockchain Developer,Solidity Ethereum smart contracts Web3 decentralized apps
IoT Engineer,Arduino Raspberry Pi embedded systems sensors microcontrollers IoT
UI UX Designer,Figma Adobe XD prototyping user research wireframing UI design
QA Engineer,Manual testing automation Selenium test cases debugging QA
Product Management Intern,Agile Scrum roadmap strategy product lifecycle coordination
Business Analyst,Requirement gathering stakeholder communication documentation data modeling
Data Engineer,Hadoop Spark ETL pipelines big data warehousing
Computer Vision Intern,OpenCV image processing object detection deep learning
AR VR Developer,Unity 3D modeling augmented reality virtual reality development
Network Engineer,Cisco routing switching firewall configuration network troubleshooting
Technical Writer,API documentation manuals technical communication software writing
Digital Marketing Intern,SEO SEM analytics content marketing social media strategy
HR Intern,Recruitment onboarding employee engagement HR analytics
Finance Intern,Financial analysis budgeting forecasting Excel accounting
Robotics Engineer,Robotics automation sensors control systems embedded programming
Embedded Systems Intern,C programming microcontrollers hardware interfacing firmware
Software Engineer,Java C++ Python OOP system design software architecture
Web Developer,HTML CSS JavaScript web development responsive design
Python Developer,Python scripting automation Flask Django REST APIs
Java Developer,Java Spring Boot microservices backend systems
Android Developer,Kotlin Java Android SDK mobile UI API integration
iOS Developer,Swift iOS development UIKit mobile apps
Data Scientist,Machine learning statistics Python predictive modeling analytics
AI Chatbot Developer,NLP transformers conversational AI chatbot systems
Cloud Security Engineer,AWS security IAM encryption cloud compliance
Ethical Hacker,Penetration testing vulnerability assessment cybersecurity tools
Big Data Analyst,Hadoop Spark data pipelines distributed systems analytics
Automation Engineer,Python scripting automation CI CD pipelines DevOps
Research Intern,Data analysis literature review experimentation research methods
Systems Engineer,Linux administration networking infrastructure management
IT Support Specialist,Technical troubleshooting hardware software support
Content Writer,Technical blogging documentation SEO content creation
Operations Analyst,Process improvement data analysis reporting dashboards
Supply Chain Intern,Logistics inventory management analytics forecasting
E-Commerce Analyst,Sales data analysis digital marketing optimization
Social Media Manager,Content creation analytics engagement growth strategy
Graphic Designer,Photoshop Illustrator branding UI assets design
Video Editor,Adobe Premiere After Effects media production editing
